exercise,muscle_group,muscle_specific,source,user
bicep curl,arm,"biceps, forearm",https://www.fitstream.com/exercises/biceps-curl-a6047,
chest fly,,,,
chest press,chest,"pectorals, deltoids, triceps",https://www.healthline.com/health/exercise-fitness/chest-press,
"chest press, decline",chest,"pectorals, lower pectorals, deltoids, triceps",https://www.healthline.com/health/exercise-fitness/chest-press,
"chest press, floor",chest,"pectorals, deltoids, triceps",https://www.healthline.com/health/exercise-fitness/chest-press,
"chest press, incline",chest,"pectorals, upper pectorals, deltoids, triceps",https://www.healthline.com/health/exercise-fitness/chest-press,
deadlift,compound,"quadriceps, glutes, inner thigh adductors, hamstrings, erectors, lats, traps, rhomboids, core",https://powerliftingtechnique.com/deadlift-muscles/,
"deadlift, Romanian",compound,"quadriceps, glutes, inner thigh adductors, hamstrings, erectors, lats, traps, rhomboids, core",https://powerliftingtechnique.com/deadlift-muscles/,
"deadlift, single leg",compound,"quadriceps, glutes, inner thigh adductors, hamstrings, erectors, lats, traps, rhomboids, core",https://powerliftingtechnique.com/deadlift-muscles/,
"deadlift, sumo",compound,"inner thigh adductors, quadriceps, glutes, hamstrings, erectors, lats, traps, rhomboids, core",https://powerliftingtechnique.com/deadlift-muscles/,
front raise,,,,
hammer curl,,,,
kettlebell swings,,,,
lateral raise,shoulder,medial deltoid,https://www.muscleandmotion.com/lateral-raise-exercise/,
"rows, bent over",,,,
"rows, left arm",,,,
"rows, right arm",,,,
"rows, upright",,,,
shoulder press,,,,
squat,leg,"gluteus maximus, quadriceps, hamstrings, core",https://www.self.com/gallery/squat-variations,
"squat, narrow",leg,"quadriceps, gluteus maximus, hamstrings, calves, core","https://www.exercise.com/exercises/narrow-stance-squat#:~:text=back%20...more-,narrow%20stance%20squat%20is%20a%20free%20weights%20exercise%20that%20primarily,glutes%2C%20hamstrings%20and%20lower%20back.",
"squat, sumo",leg,"gluteus maximus, quadriceps, inner thigh adductors, hamstrings, core","https://www.self.com/gallery/squat-variations, https://metro.co.uk/2019/02/18/perfect-sumo-squat-8653111/#:~:text=When%20doing%20a%20sumo%20squat,toward%20your%20body%2C%20and%20glutes.",
